151.7,351.102
155.799,354.358
142.857,352.716
152.726,349.144
151.008,349.692
145.865,351.895
148.629,350.242
151.083,353.684
161.316,348.971
158.758,352.36
181.346,377.633
183.199,378.49
179.207,378.355
181.753,383.125
182.4,376.604
180.423,381.519
179.138,383.074
178.284,377.123
176.322,380.684
179.135,374.711
180.504,382.243
212.235,356.804
202.963,350.426
211.079,347.609
217.119,349.997
209.475,354.962
211.54,350.642
212.128,350.775
208.814,348.819
212.595,345.461
208.815,347.649
212.778,347.551
438.419,307.993
430.315,297.65
431.073,294.185
449.095,289.08
443.323,301.083
442.708,302.957
425.177,300.915
451.944,303.651
438.688,307.31
444.161,310.321
453.425,294.242
447.887,420.362
450.954,396.587
446.84,398.303
442.065,397.978
446.232,398.472
412.182,411.246
447.912,410.438
443.752,440.94
449.381,413.551
436.663,378.782
440.638,393.365
494.217,346.882
485.877,351.288
497.608,343.426
493.057,349.563
483.674,334.895
485.549,343.223
481.435,341.911
492.099,347.739
487.611,354.577
498.273,355.747
459.715,360.163
523.777,298.863
530.336,307.668
543.725,300.151
540.597,310.372
545.892,303.811
547.818,302.79
528.889,295.172
539.85,304.557
545.048,308.998
531.74,313.521
554.611,305.859
535.456,414.252
536.539,392.677
531.273,407.619
546.312,409.101
549.76,408.823
533.416,406.238
547.832,404.624
529.74,396.483
545.559,393.562
531.429,402.722
531.377,406.271
